"country","year","higher_1","higher_2","higher_3","reduced_1","reduced_2","reduced_3","reduced_4","reduced_5","reduced_6","standard"
"Australia","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","2000",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2001",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2002",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2003",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2004",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2005",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2006",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2007",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2008",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2009",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2010",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2011",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2012",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2013",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2014",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2015",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2016",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2017",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2018",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2019",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Australia","2020",NA,NA,NA,0,NA,NA,NA,NA,NA,10
"Austria","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","1973",NA,NA,NA,8,NA,NA,NA,NA,NA,16
"Austria","1974",NA,NA,NA,8,NA,NA,NA,NA,NA,16
"Austria","1975",NA,NA,NA,8,NA,NA,NA,NA,NA,16
"Austria","1976",NA,NA,NA,8,NA,NA,NA,NA,NA,18
"Austria","1977",NA,NA,NA,8,NA,NA,NA,NA,NA,18
"Austria","1978",30,NA,NA,8,NA,NA,NA,NA,NA,18
"Austria","1979",30,NA,NA,8,NA,NA,NA,NA,NA,18
"Austria","1980",30,NA,NA,8,NA,NA,NA,NA,NA,18
"Austria","1981",30,NA,NA,13,8,NA,NA,NA,NA,18
"Austria","1982",30,NA,NA,13,8,NA,NA,NA,NA,18
"Austria","1983",30,NA,NA,13,8,NA,NA,NA,NA,18
"Austria","1984",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1985",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1986",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1987",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1988",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1989",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1990",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1991",32,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1992",NA,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1993",NA,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1994",NA,NA,NA,10,NA,NA,NA,NA,NA,20
"Austria","1995",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","1996",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","1997",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","1998",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","1999",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2000",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2001",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2002",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2003",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2004",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2005",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2006",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2007",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2008",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2009",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2010",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2011",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2012",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2013",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2014",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2015",NA,NA,NA,10,12,NA,NA,NA,NA,20
"Austria","2016",NA,NA,NA,10,13,NA,NA,NA,NA,20
"Austria","2017",NA,NA,NA,10,13,NA,NA,NA,NA,20
"Austria","2018",NA,NA,NA,10,13,NA,NA,NA,NA,20
"Austria","2019",NA,NA,NA,10,13,NA,NA,NA,NA,20
"Austria","2020",NA,NA,NA,10,13,NA,NA,NA,NA,20
"Belgium","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","1971",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1972",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1973",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1974",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1975",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1976",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1977",25,NA,NA,0,6,14,NA,NA,NA,18
"Belgium","1978",25,NA,NA,0,6,NA,NA,NA,NA,16
"Belgium","1979",25,NA,NA,0,6,NA,NA,NA,NA,16
"Belgium","1980",25,30,NA,0,6,NA,NA,NA,NA,16
"Belgium","1981",25,33,NA,0,6,NA,NA,NA,NA,17
"Belgium","1982",25,33,NA,0,1,6,NA,NA,NA,17
"Belgium","1983",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1984",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1985",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1986",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1987",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1988",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1989",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1990",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1991",25,33,NA,0,1,6,17,NA,NA,19
"Belgium","1992",NA,NA,NA,0,1,6,12,NA,NA,19.5
"Belgium","1993",NA,NA,NA,0,1,6,12,NA,NA,19.5
"Belgium","1994",NA,NA,NA,0,1,6,12,NA,NA,20.5
"Belgium","1995",NA,NA,NA,0,1,6,12,NA,NA,20.5
"Belgium","1996",NA,NA,NA,0,1,6,12,NA,NA,21
"Belgium","1997",NA,NA,NA,0,1,6,12,NA,NA,21
"Belgium","1998",NA,NA,NA,0,1,6,12,NA,NA,21
"Belgium","1999",NA,NA,NA,0,1,6,12,NA,NA,21
"Belgium","2000",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2001",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2002",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2003",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2004",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2005",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2006",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2007",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2008",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2009",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2010",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2011",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2012",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2013",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2014",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2015",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2016",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2017",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2018",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2019",NA,NA,NA,0,6,12,NA,NA,NA,21
"Belgium","2020",NA,NA,NA,0,6,12,NA,NA,NA,21
"Canada","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","1991",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1992",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1993",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1994",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1995",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1996",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1997",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1998",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","1999",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2000",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2001",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2002",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2003",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2004",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2005",NA,NA,NA,0,NA,NA,NA,NA,NA,7
"Canada","2006",NA,NA,NA,0,NA,NA,NA,NA,NA,6
"Canada","2007",NA,NA,NA,0,NA,NA,NA,NA,NA,6
"Canada","2008",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2009",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2010",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2011",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2012",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2013",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2014",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2015",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2016",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2017",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2018",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2019",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Canada","2020",NA,NA,NA,0,NA,NA,NA,NA,NA,5
"Chile","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"Chile","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"Chile","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"Chile","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Chile","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Chile","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"Colombia","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1983",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1984",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1985",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1986",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1987",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1988",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1989",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1990",20,25,35,0,1.6,10,NA,NA,NA,10
"Colombia","1991",20,25,35,0,1.6,10,NA,NA,NA,12
"Colombia","1992",20,25,35,0,1.6,10,NA,NA,NA,12
"Colombia","1993",20,25,35,0,1.6,10,NA,NA,NA,14
"Colombia","1994",20,25,35,0,1.6,10,NA,NA,NA,14
"Colombia","1995",20,25,35,0,1.6,10,NA,NA,NA,14
"Colombia","1996",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","1997",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","1998",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","1999",20,25,35,0,1.6,10,NA,NA,NA,15
"Colombia","2000",20,25,35,0,1.6,10,NA,NA,NA,15
"Colombia","2001",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2002",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2003",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2004",20,25,35,0,1.6,10.21,NA,NA,NA,16
"Colombia","2005",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2006",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2007",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2008",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2009",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2010",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2011",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2012",20,25,35,0,1.6,10,NA,NA,NA,16
"Colombia","2013",NA,NA,NA,0,5,8,NA,NA,NA,16
"Colombia","2014",NA,NA,NA,0,5,8,NA,NA,NA,16
"Colombia","2015",NA,NA,NA,0,5,NA,NA,NA,NA,16
"Colombia","2016",NA,NA,NA,0,5,NA,NA,NA,NA,16
"Colombia","2017",NA,NA,NA,0,5,NA,NA,NA,NA,19
"Colombia","2018",NA,NA,NA,0,5,NA,NA,NA,NA,19
"Colombia","2019",NA,NA,NA,0,5,NA,NA,NA,NA,19
"Colombia","2020",NA,NA,NA,0,5,NA,NA,NA,NA,19
"Czech Republic","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Republic","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Republic","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
