"","category","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","reference"
"1","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"2","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2"
"3","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"4","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"5","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"6","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6"
"7","Standard rate","-","-","-","-","-","-","16","16","16","18","18","18","18","18","18","18","18","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","7"
"8","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,NA,"27760",NA,NA,NA,NA,NA,NA,NA,"30682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8"
"9","Reduced rates","-","-","-","-","-","-","8","8","8","8","8","8","8","8","13.0/8.0","13.0/8.0","13.0/8.0","10","10","10","10","10","10","10","10","10","10","10","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/12.0","10.0/13.0","10.0/13.0","10.0/13.0","10.0/13.0","10.0/13.0","9"
"10","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,NA,NA,NA,NA,NA,NA,"29587",NA,NA,"30682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42370",NA,NA,NA,NA,"10"
"11","Higher rate","-","-","-","-","-","-","-","-","-","-","-","30","30","30","30","30","30","32","32","32","32","32","32","32","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,"-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,"11"
"12","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"13","Specific regional rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"14","Jungholz and Mittleberg","-","-","-","-","-","-","11","11","11","11","11","12","13","13","13","13","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","16","16","16","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","14"
"15","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28491","29037",NA,NA,NA,"30498",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,"35886",NA,NA,NA,NA,NA,NA,NA,"39083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15"
"16","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"17","Standard rate","-","-","-","-","18","18","18","18","18","18","18","16","16","16","17","17","19","19","19","19","19","19","19","19","19","19.5","19.5","20.5","20.5","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","17"
"18","Implementation dates",NA,NA,NA,NA,"25934",NA,NA,NA,NA,NA,NA,"28491",NA,NA,"29768",NA,"30317",NA,NA,NA,NA,NA,NA,NA,NA,"33695",NA,"34335",NA,"35065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"19","Reduced rates","-","-","-","-","0.0/6.0/14.0","0.0/6.0/14.0","0.0/6.0/14.0","0.0/6.0/14.0","0.0/6.0/14.0","0.0/6.0/14.0","0.0/6.0/14.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/1.0/6.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/17.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/1.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","19"
"20","Implementation dates",NA,NA,NA,NA,"25934",NA,NA,NA,NA,NA,NA,"28491",NA,NA,NA,"30011","30317",NA,NA,NA,NA,NA,NA,NA,NA,"33695",NA,NA,NA,NA,NA,NA,NA,"36526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20"
"21","Higher rate","-","-","-","-","25","25","25","25","25","25","25","25","25","25.0/30.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","25.0/33.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,"21"
"22","Implementation dates",NA,NA,NA,NA,"25934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
"23","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23"
"24","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","24"
"25","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38899",NA,"39448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25"
"26","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"27","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27"
"28","Specific GST/HST regional rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28"
"29","British Columbia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12","12","12","-","-",NA,NA,NA,NA,NA,NA,"29"
"30","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40330",NA,NA,"41365",NA,NA,NA,NA,NA,NA,NA,"30"
"31","New Brunswick","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15","15","15","15","15","15","15","15","15","14","14","13","13","13","13","13","13","13","13","15","15","15","15","15","31"
"32","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35521",NA,NA,NA,NA,NA,NA,NA,NA,"38899",NA,"39448",NA,NA,NA,NA,NA,NA,NA,"42522",NA,NA,NA,NA,"32"
"33","New Foundland & Labrador","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15","15","15","15","15","15","15","15","15","14","14","13","13","13","13","13","13","13","13","15","15","15","15","15","33"
"34","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35521",NA,NA,NA,NA,NA,NA,NA,NA,"38899",NA,"39448",NA,NA,NA,NA,NA,NA,NA,"42522",NA,NA,NA,NA,"34"
"35","Nova Scotia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15","15","15","15","15","15","15","15","15","14","14","13","13","15","15","15","15","15","15","15","15","15","15","15","35"
"36","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35521",NA,NA,NA,NA,NA,NA,NA,NA,"38899",NA,"39448",NA,"40360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36"
"37","Ontario","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","13","13","13","13","13","13","13","13","13","13","37"
"38","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38"
"39","Prince Edward Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","14","14","15","15","15","15","15","39"
"40","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41365",NA,NA,"42644",NA,NA,NA,NA,"40"
"41","Quebec","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.56","15.56","13.96","13.96","13.96","13.96","15.03","15.03","15.03","15.03","15.03","15.03","15.03","15.03","13.95","13.95","12.88","12.88","12.88","13.93","14.98","14.98","14.98","14.98","14.98","14.98","14.98","14.98","14.98","41"
"42","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33786",NA,"34467",NA,NA,NA,"35796",NA,NA,NA,NA,NA,NA,NA,"38899",NA,"39448",NA,NA,"40544","40909",NA,NA,NA,NA,NA,NA,NA,NA,"42"
"43","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43"
"44","Standard rate","-","-","-","-","-","-","-","-","20","20","20","20","20","20","20","20","20","20","20","20","20","16","16","18","18","18","18","18","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","44"
"45","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,"27454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32417",NA,"32933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45"
"46","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46"
"47","Standard rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","10","10","10","10","10","10","12","12","14","14","14","16","16","16","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","19","19","19","19","47"
"48","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30317",NA,NA,NA,NA,NA,NA,NA,"33239",NA,"33970",NA,NA,"35065",NA,NA,"36465",NA,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42736",NA,NA,NA,"48"
"49","Reduced rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.21","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/1.6/10.0","0.0/5.0/8.0","0.0/5.0/8.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","49"
"50","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41275",NA,"42005",NA,NA,NA,NA,NA,"50"
"51","Higher rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0","20.0/25.0/35.0",NA,NA,NA,NA,NA,NA,NA,NA,"51"
"52","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41275",NA,NA,NA,NA,NA,NA,NA,"52"
"53","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53"
"54","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23","23","22","22","22","22","22","22","22","22","22","19","19","19","19","19","19","20","20","20","21","21","21","21","21","21","21","21","54"
"55","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,"38108",NA,NA,NA,NA,NA,"40179",NA,NA,"41275",NA,NA,NA,NA,NA,NA,NA,"55"
"56","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","9","9","10","10","14","15","15","10.0/15.0","10.0/15.0","10.0/15.0","10.0/15.0","10.0/15.0","10.0/15.0","56"
"57","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39448",NA,"40179",NA,"40909","41275",NA,"42005",NA,NA,NA,NA,NA,"57"
"58","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58"
"59","Standard rate","10","12.5","12.5","15","15","15","15","15","15","15","18","20.25","20.25","22","22","22","22","22","22","22","22","22","22","22","22","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","59"
"60","Implementation date","24683","24929",NA,"25748",NA,NA,NA,NA,NA,NA,"28401","28764",NA,"29402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60"
"61","Reduced rates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61"
"62","Implementation dates","24683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62"
"63","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63"
"64","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","20","20","20","20","20","20","20","20","20","20","20","20","64"
"65","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604","33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65"
"66","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","0.0/9.0","66"
