"","category","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","reference"
"127","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127"
"128","Standard rate","-","-","-","-","-","-","12","12","12","12","14","14","14","14","15","18","18","18","18","18","18","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20","20","21","21","22","22","22","22","22","22","22","22","128"
"129","Implementation date",NA,NA,NA,NA,NA,NA,"26665",NA,NA,NA,"28164",NA,NA,NA,"29587","30168",NA,NA,NA,NA,NA,"32356",NA,NA,NA,NA,NA,NA,NA,NA,"35704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40803",NA,"41548",NA,NA,NA,NA,NA,NA,NA,"129"
"130","Reduced rates","-","-","-","-","-","-","6","6","6","1.0/3.0/6.0/9.0","1.0/3.0/6.0/9.0/12.0","1.0/3.0/6.0/9.0/12.0","1.0/3.0/6.0/9.0/12.0","1.0/2.0/3.0/6.0/9.0/12.0","2.0/8.0","2.0/8.0/10.0/15.0","2.0/8.0/10.0/15.0","2.0/9.0","2.0/9.0","2.0/9.0","2.0/9.0","2.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0/12","4.0/9.0/12","4.0/9.012.0","4.0/9.013.0","4.0/10.0/16.0","4.0/10.0/16.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","4.0/5.0/10.0","130"
"131","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,NA,"28117","28164",NA,NA,"29526","29587","30168",NA,"31036",NA,NA,NA,NA,"32509",NA,"33361",NA,NA,"34335","34754",NA,"35704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42370",NA,NA,NA,NA,"131"
"132","Higher rate","-","-","-","-","-","-","18","18","18.0/30.0","18.0/30.0","18.0/35.0","18.0/35.0","18.0/35.0","15.0/18.0/35.0","18.0/35.0","20.0/38.0","20.0/38.0","30","30","30","30","38","38","38","38","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"132"
"133","Implementation dates",NA,NA,NA,NA,NA,NA,"26665",NA,"27395",NA,"28164",NA,NA,"29526",NA,"30168",NA,"31036",NA,NA,NA,"32356",NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133"
"134","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134"
"135","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","3","3","3","3","3","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","8","8","8","8","8","10","10","135"
"136","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32599",NA,NA,NA,NA,NA,NA,NA,"35521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41730",NA,NA,NA,NA,"43739",NA,"136"
"137","Reduced rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","8","137"
"138","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43739",NA,"138"
"139","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139"
"140","Standard rate","-","-","-","-","-","-","-","-","-","-","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","140"
"141","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141"
"142","Reduced rate","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142"
"143","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143"
"144","Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144"
"145","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","21","21","22","21","21","21","21","21","21","21","21","21","145"
"146","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39814",NA,"40544","41091",NA,NA,NA,NA,NA,NA,NA,NA,"146"
"147","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","-","9","5","5","5","5","5","10","10","12","12","12","12","12","12","12","5.00/12.00","5.00/12.00","5.00/12.0","147"
"148","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37622","38108",NA,NA,NA,NA,"39814",NA,"40544",NA,NA,NA,NA,NA,NA,"43101",NA,NA,"148"
"149","Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149"
"150","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","19.0 - 21.0","21","21","21","21","21","21","21","21","21","21","21","150"
"151","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01-01-2009 / 01-09-2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"151"
"152","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,"9","9","9","-","-","-","5","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","5.0/9.0","152"
"153","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34547",NA,NA,"35431",NA,NA,"36647","36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153"
"154","Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154"
"155","Standard rate","-","-","-","8","10","10","10","10","10","10","10","10","10","10","10","10","12","12","12","12","12","12","12","12","12","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","17","17","17","17","17","17","155"
"156","Implementation date",NA,NA,NA,"25569","25934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30498",NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42005",NA,NA,NA,NA,NA,"156"
"157","Reduced rates","-","-","-","4","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","2.0/5.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/6.0/12","3.0/8.0/14.0","3.0/8.0/14.0","3.0/8.0/14.0","3.0/8.0/14.0","3.0/8.0/14.0","3.0/8.0/14.0","157"
"158","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30498",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42005",NA,NA,NA,NA,NA,"158"
"159","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"159"
"160","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","10","10","10","15","15","15","15","15","15","15","15","10","10","10","10","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","160"
"161","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29221",NA,NA,"30317",NA,NA,NA,NA,NA,NA,NA,"33564",NA,NA,NA,"34790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161"
"162","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162"
"163","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29465",NA,NA,"30317",NA,NA,NA,NA,"32387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"163"
"164","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20","20","20","20","20","20","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"164"
"165","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30317",NA,NA,NA,NA,NA,NA,NA,"33564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165"
"166","Specific Regional rate (see note)","-","-","-","-","-","-","-","-","-","-","-","-","-","6","6","6","6","6","6","6","6","6","6","6","-","-","-","-","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","-","-",NA,NA,NA,"8","8","166"
"167","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33564",NA,NA,NA,"34790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40179",NA,NA,NA,"41640","41640",NA,NA,NA,"43466",NA,"167"
"168","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"168"
"169","Standard rate","-","-","12","12","14","14","16","16","16","18","18","18","18","18","18","18","18","19","19","20","20","20","18.5","18.5","18.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","19","19","19","19","19","19","19","19","19","19","19","21","21","21","21","21","21","21","21","21","169"
"170","Implementation date",NA,NA,"25204",NA,"25934",NA,"26665",NA,NA,"27760",NA,NA,NA,NA,NA,NA,NA,"30701",NA,"31686",NA,NA,"32509",NA,NA,"33604",NA,NA,NA,NA,NA,NA,NA,NA,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41183",NA,NA,NA,NA,NA,NA,NA,NA,"170"
"171","Reduced rates","-","-","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","9","9","171"
"172","Implementation dates",NA,NA,"25204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30701",NA,"31686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43466",NA,"172"
"173","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"173"
"174","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","10","10","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","15","15","15","15","15","15","15","15","15","15","15","174"
"175","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31686",NA,NA,"32660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"175"
"176","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"176"
"177","Standard rate","-","-","-","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","22","22","23","23","23","23","23","23","24","24","24","24","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","177"
"178","Implementation date",NA,NA,NA,"25569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34151",NA,"34700",NA,NA,NA,NA,NA,"36892",NA,NA,NA,"38353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"178"
"179","Reduced rates","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/12.0","0.0/7.0/11.0","0.0/8.0/13.0","0.0/8.0/13.0","0.0/8.0/13.0","0.0/8.0/13.0","0.0/8.0/13.0","0.0/8.0/14.0","0.0/8.0/15.0","0.0/8.0/15.0","0.0/8.0/15.0","0.0/8.0/15.0","0.0/10.0/15.0","0.0/10.0/15.0","0.0/12.0/15.0","0.0/12.0/15.0","0.0/12.0/15.0","179"
"180","Implementation dates",NA,NA,NA,"25569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36892",NA,NA,NA,"38353","38718",NA,NA,NA,NA,"40544","40909",NA,NA,NA,"42370",NA,"43101",NA,NA,"180"
"181","Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181"
"182","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","23","23","182"
"183","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40544",NA,NA,NA,NA,NA,NA,NA,NA,NA,"183"
"184","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","7","7","7","7","7","7","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","3.0/7.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","5.0/8.0","184"
"185","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34151",NA,NA,NA,NA,NA,NA,"36773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40544",NA,NA,NA,NA,NA,NA,NA,NA,NA,"185"
"186","Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"186"
"187","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16","16","17","17","17","17","16","16","16","17","17","17","17","17","17","17","19","19","19","21","21","21","20","20","21","23","23","23","23","23","23","23","23","23","23","187"
"188","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,"32174",NA,NA,NA,"33687",NA,NA,"34700",NA,NA,NA,NA,NA,NA,"37412",NA,NA,"38534",NA,NA,"39630",NA,"40360","40544",NA,NA,NA,NA,NA,NA,NA,NA,NA,"188"
"189","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0/8.0","0.0/8.0","0.0/8.0","0.0/8.0","0.0/8.0","0.0/8.0","8","8","8","5","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","6.0/13.0","189"
"190","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,"33687",NA,NA,"34700","35247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190"
"191","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30","30","30","30","30","30","30","30","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"191"
"192","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192"
"193","Specific Regional rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"193"
"194","Azores","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"194"
