"","category","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","reference"
"195","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,"12","12","13","13","13","13","12","12","12","13","13","13","13","13","13","13","14","14","14","15","15","15","14","14","15","16","16","16","18","18","18","18","18","18","18","195"
"196","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,"32174",NA,NA,NA,"33687",NA,NA,"34700",NA,NA,NA,NA,NA,NA,"37412",NA,NA,"38534",NA,NA,"39630",NA,"40360",NA,NA,NA,"41640",NA,NA,NA,NA,NA,NA,"196"
"197","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","6","6","6","4","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","5.0/10.0","4.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","4.0/9.0","197"
"198","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,"33687",NA,NA,"34700","35247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40360",NA,NA,NA,"41640","42186",NA,NA,NA,NA,NA,"198"
"199","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21","21","21","21","21","21","21","21","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,"199"
"200","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200"
"201","Madeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201"
"202","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12","12","13","13","13","13","12","12","12","13","13","13","13","13","13","13","14","14","14","15","15","15","14","14","15","16","22","22","22","22","22","22","22","22","22","202"
"203","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,"32174",NA,NA,NA,"33687",NA,NA,"34700",NA,NA,NA,NA,NA,NA,"37412",NA,NA,"38534",NA,NA,"39630",NA,"40360","40544","41000",NA,NA,NA,NA,NA,NA,NA,NA,"203"
"204","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","0.0/6.0","6","6","6","4","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/8.0","4.0/9.0","4.0/9.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","5.0/12.0","204"
"205","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,"33687",NA,NA,"34700","35247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40360",NA,"41000",NA,NA,NA,NA,NA,NA,NA,NA,"205"
"206","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21","21","21","21","21","21","21","21","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,"206"
"207","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"207"
"208","Slovak Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"208"
"209","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","25","25","23","23","23","23","23","23","23","20","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","209"
"210","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,"35065",NA,NA,NA,NA,NA,NA,"37622","37987",NA,NA,NA,NA,NA,NA,"40544",NA,NA,NA,NA,NA,NA,NA,NA,NA,"210"
"211","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","6","6","6","6","6","10","10","10","10","14","-","-","-","10","10","10","6.0/10.0","10","10","10","10","10","10","10","10","10","10","211"
"212","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,"36342",NA,NA,NA,"37622","37987",NA,NA,"39083",NA,NA,"40299","40544",NA,NA,NA,NA,NA,NA,NA,NA,NA,"212"
"213","Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"213"
"214","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19","19","19","20","20","20","20","20","20","20","20","20","20","20","22","22","22","22","22","22","22","22","214"
"215","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36342",NA,NA,"37257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41456",NA,NA,NA,NA,NA,NA,NA,"215"
"216","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","8","8","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","5.0/9.5","216"
"217","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36342",NA,NA,"37257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41456",NA,NA,NA,NA,NA,NA,"43831","217"
"218","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"218"
"219","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12","12","12","12","12","12","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","18","18","21","21","21","21","21","21","21","21","21","219"
"220","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,"33817",NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40360",NA,"41153",NA,NA,NA,NA,NA,NA,NA,NA,"220"
"221","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","6","6","6","6","6","6","3.0/6.0","3.0/6.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/7.0","4.0/8.0","4.0/8.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","4.0/10.0","221"
"222","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,NA,"33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222"
"223","Higher rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33","33","33","33","33","33","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"223"
"224","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31413",NA,NA,NA,NA,NA,"33604","33970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224"
"225","Specific Regional rates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225"
"226","Canary Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"226"
"227","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"12.0","12.0","12.0","12.0","12.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13","13","13.5","13","13","13","13","13","13","13","13","227"
"228","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,"35431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41091",NA,NA,NA,NA,NA,NA,NA,NA,"228"
"229","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"2.0/4.0/","2.0/4.0/","2.0/4.0/","2.0/4.0/","2.0/4.0/","2.0/4.5/","2.0/4.5/","2.0/4.5/","2.0/4.5/","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.0/5.0/9.0","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","2.75/3.0/7.0/9.5","229"
"230","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,"35431",NA,NA,NA,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41091",NA,NA,NA,NA,NA,NA,NA,NA,"230"
"231","Ceuta and Melila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231"
"232","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","232"
"233","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233"
"234","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","0,5/2.0/3.0/4.0","234"
"235","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"235"
"236","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"236"
"237","Standard rate","-","-","11.11","11.11","17.649999999999999","17.649999999999999","17.649999999999999","17.649999999999999","17.649999999999999","17.649999999999999","20.63","20.63","20.63","23.46","21.51","21.51","23.46","23.46","23.46","23.46","23.46","23.46","23.46","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","237"
"238","Implementation date",NA,NA,"25204",NA,"25934",NA,NA,NA,NA,NA,"28277",NA,NA,"29472","29906",NA,"30317",NA,NA,NA,NA,NA,NA,"33055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238"
"239","Reduced rates","-","-","6.38/2.04","6.38/2.04","9.89/3.09","9.89/3.09","9.89/3.09","9.89/3.09","9.89/3.09","9.89/3.09","11.43/3.54","11.43/3.54","11.43/3.54","12.87/3.95","11.88/3.67","11.88/3.67","12.87/3.95","12.87/3.95","12.87/3.95","12.87/3.95","12.87/3.95","12.87/3.95","12.87/3.95","13.64/4.17","13.64/4.17","18","12.0/21.0","12.0/21.0","12.0/21.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","0.0/6.0/12.0","239"
"240","Implementation dates",NA,NA,"25204",NA,"25934",NA,NA,NA,NA,NA,"28277",NA,NA,"29472","29906",NA,"30317",NA,NA,NA,NA,NA,NA,"33055",NA,"33604","34151",NA,NA,"35065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240"
"241","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"241"
"242","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.5","6.5","6.5","7.5","7.5","7.5","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","8","8","8","8","8","8","8","7.7","7.7","7.7","242"
"243","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,"36161",NA,NA,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40544",NA,NA,NA,NA,NA,NA,"43101",NA,NA,"243"
"244","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","2.0/3.0","2.0/3.0","0.0/2.0/3.0","0.0/2.3/3.5","0.0/2.3/3.5","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.4/3.6","0.0/2.5/3.8","0.0/2.5/3.8","0.0/2.5/3.8","0.0/2.5/3.8","0.0/2.5/3.8","0.0/2.5/3.8","0.0/2.5/3.8","0.0/2.5/3.7","0.0/2.5/3.7","0.0/2.5/3.7","244"
"245","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34700","35339",NA,"36161",NA,NA,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40544",NA,NA,NA,NA,NA,NA,"43101",NA,NA,"245"
"246","Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"246"
"247","Standard rate","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10","12","12","10","10","12","12","12","15","15","15","15","15","15","17","17","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","247"
"248","Implementation date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31048","31747",NA,"32448",NA,"33208",NA,NA,"34274",NA,NA,NA,NA,NA,"36507",NA,"37026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"248"
"249","Reduced rates","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0/1.0/5.0","0.0/1.0/5.0","1.0/3.0/5.0","1.0/3.0/5.0","1.0/6.0","1.0/6.0","1.0/6.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","1.0/8.0","249"
"250","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31747",NA,"32448",NA,"33208",NA,NA,"34274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250"
"251","Higher rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-","-","15","15","20","20","13.0/20.0","23","23","23","23.0/40.0","23.0/40.0","23.0/40.0","25.0/40.0","25.0/40.0","26.0/40.0","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"251"
"252","Implementation dates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32448",NA,"33161",NA,"33663","34274",NA,NA,NA,NA,NA,"36507",NA,"37026","37469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"252"
"253","United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253"
"254","Standard rate","-","-","-","-","-","-","10","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","15","15","17.5","20","20","20","20","20","20","20","20","20","20","254"
"255","Implementation date",NA,NA,NA,NA,NA,NA,"26755","27239",NA,NA,NA,NA,"29024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39783",NA,"40179","40547",NA,NA,NA,NA,NA,NA,NA,NA,NA,"255"
"256","Reduced rates","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0/8.0","0.0/8.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","0.0/5.0","256"
"257","Implementation dates",NA,NA,NA,NA,NA,NA,"26755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"257"
"258","Higher rate","-","-","-","-","-","-","-","25","25","12.5","12.5","12.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,"258"
"259","Implementation dates",NA,NA,NA,NA,NA,NA,NA,"27351",NA,"27862",NA,NA,"29024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"259"
